"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Selected Calendar Years 1960-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Investment,,11.7 ,10.3 ,9.0 ,5.8 ,5.0 ,12.8 ,7.0 ,7.7 ,7.4 ,5.9 ,9.9 ,6.9 ,-5.8 ,3.3 ,4.4 ,2.8 ,0.0 ,-2.2 ,2.2 ,1.9 ,8.6 ,5.1 ,2.2 ,-0.1 ,6.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Population1,,1.2 ,0.9 ,1.0 ,1.1 ,0.9 ,0.9 ,0.8 ,0.9 ,0.9 ,1.0 ,1.0 ,1.0 ,0.9 ,0.8 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.6 ,0.5 ,0.5 ,0.3 ,0.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product2 ,,7.1 ,10.3 ,7.6 ,5.6 ,3.2 ,3.3 ,4.8 ,6.6 ,6.7 ,6.0 ,4.8 ,2.0 ,-2.0 ,3.9 ,3.7 ,4.2 ,3.6 ,4.2 ,3.7 ,2.7 ,4.2 ,5.4 ,4.1 ,-1.5 ,10.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures ,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures,90.5 ,89.5 ,91.9 ,93.2 ,93.7 ,93.9 ,93.8 ,93.9 ,93.8 ,93.8 ,93.9 ,93.7 ,93.5 ,94.1 ,94.1 ,94.1 ,94.1 ,94.3 ,94.7 ,94.8 ,95.0 ,94.8 ,94.7 ,94.8 ,95.3 ,95.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care,85.3 ,84.2 ,84.6 ,85.1 ,84.7 ,84.7 ,83.7 ,83.4 ,83.5 ,83.6 ,83.4 ,83.3 ,83.5 ,84.5 ,84.2 ,84.2 ,84.3 ,84.2 ,84.2 ,84.5 ,84.5 ,84.3 ,83.8 ,84.4 ,81.2 ,83.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Administration and Net Cost of Health Insurance,3.9 ,3.5 ,4.7 ,5.3 ,5.9 ,6.1 ,6.9 ,7.4 ,7.4 ,7.4 ,7.6 ,7.5 ,7.0 ,6.7 ,7.0 ,7.1 ,7.1 ,7.2 ,7.7 ,7.7 ,7.7 ,7.7 ,8.2 ,7.5 ,8.3 ,7.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Public Health Activities,1.4 ,1.8 ,2.5 ,2.8 ,3.2 ,3.2 ,3.2 ,3.1 ,2.9 ,2.8 ,2.8 ,2.9 ,3.0 ,3.0 ,2.9 ,2.8 ,2.8 ,2.9 ,2.8 ,2.7 ,2.7 ,2.8 ,2.8 ,2.8 ,5.7 ,4.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Investment,9.5 ,10.5 ,8.1 ,6.8 ,6.3 ,6.1 ,6.2 ,6.1 ,6.2 ,6.2 ,6.1 ,6.3 ,6.5 ,5.9 ,5.9 ,5.9 ,5.9 ,5.7 ,5.3 ,5.2 ,5.0 ,5.2 ,5.3 ,5.2 ,4.7 ,4.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Per Capita Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures ,$146 ,$353 ,"$1,099 ","$2,835 ","$4,845 ","$5,213 ","$5,680 ","$6,114 ","$6,483 ","$6,872 ","$7,270 ","$7,667 ","$7,911 ","$8,136 ","$8,381 ","$8,599 ","$8,877 ","$9,048 ","$9,440 ","$9,879 ","$10,247 ","$10,611 ","$11,040 ","$11,456 ","$12,591 ","$12,914 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures,132 ,316 ,"1,010 ","2,643 ","4,541 ","4,897 ","5,327 ","5,739 ","6,083 ","6,446 ","6,824 ","7,181 ","7,397 ","7,655 ","7,889 ","8,089 ","8,356 ","8,531 ","8,939 ","9,370 ","9,732 ","10,055 ","10,458 ","10,865 ","12,002 ","12,285 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care,124 ,297 ,930 ,"2,413 ","4,102 ","4,415 ","4,755 ","5,097 ","5,415 ","5,744 ","6,066 ","6,390 ","6,610 ","6,872 ","7,057 ","7,242 ","7,483 ","7,618 ","7,945 ","8,346 ","8,662 ","8,941 ","9,249 ","9,675 ","10,230 ","10,784 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Administration and Net Cost of Health Insurance,6 ,12 ,52 ,151 ,286 ,317 ,390 ,455 ,481 ,508 ,553 ,571 ,551 ,541 ,587 ,609 ,627 ,655 ,728 ,757 ,792 ,821 ,905 ,863 ,"1,048 ",932 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Public Health Activities,2 ,6 ,28 ,79 ,153 ,164 ,182 ,187 ,188 ,194 ,204 ,219 ,236 ,242 ,245 ,239 ,246 ,258 ,265 ,267 ,279 ,294 ,304 ,326 ,724 ,569 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Investment,14 ,37 ,89 ,192 ,304 ,316 ,353 ,375 ,400 ,426 ,447 ,486 ,515 ,480 ,492 ,510 ,520 ,517 ,502 ,509 ,515 ,556 ,581 ,592 ,589 ,628 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Health Expenditures as a Percent of 
  Gross Domestic Product",5.0%,6.9%,8.9%,12.1%,13.3%,14.0%,14.9%,15.5%,15.5%,15.5%,15.7%,15.9%,16.3%,17.2%,17.2%,17.2%,17.1%,17.0%,17.1%,17.4%,17.7%,17.7%,17.6%,17.6%,19.7%,18.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1U.S. Bureau of the Census.  Census resident-based population less armed forces overseas and population of outlying areas.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2U.S. Department of Commerce, Bureau of Economic Analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE:  Numbers and percents may not add to totals because of rounding.  Dollar amounts shown are in current dollars.  Percent changes are calculated from unrounded data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group;  U.S. Department of Commerce, Bureau of Economic Analysis; and U.S. Bureau of the Census.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
