Country,Country,Year,Life Expectancy (Years),"Avoidable Deaths Per 100,000 Population","Infant Mortality (Deaths per 1,000 Live Births)","Maternal Mortality (Deaths per 100,000 Live Births)","Death from Heart Disease per 100,000 Population","Health Expenditure Per Capita, Current Prices, Current PPP",Total Percent of Population with Health Insurance
180,Croatia,2019,78.6,296.0,4.0,5.5,446.5,2043.652,
181,Croatia,2020,77.8,322.0,4.0,5.5,454.6,2158.935,
182,Croatia,2021,76.7,,3.8,11.0,,2605.581,
183,Romania,2018,75.3,430.0,6.0,8.6,722.0,1659.316,85.8
184,Romania,2019,75.6,419.0,5.8,9.5,688.6,1844.269,85.5
185,Romania,2020,74.2,,5.6,16.1,,2051.588,85.4
186,Romania,2021,72.8,,5.2,26.4,,2384.52,85.5
187,Argentina,2018,76.8,284.0,8.4,,324.0,2299.808,
188,Argentina,2019,77.0,276.0,7.6,,323.6,2254.047,
189,Argentina,2020,77.3,330.0,6.8,,300.3,2169.661,
190,Argentina,2021,75.9,,6.1,,,,
191,Türkiye,2020,,,8.5,13.1,,1304.709,98.5
192,Türkiye,2021,,,9.1,13.1,,1559.535,98.8
193,United Kingdom,2021,,,4.0,,,5466.568,100.0
194,Malta,2018,,,,,,3771.99,
195,Malta,2019,,,,,,4154.13,
196,Malta,2020,,,,,,4315.813,
197,Cyprus,2018,,,,,,2615.209,
198,Cyprus,2019,,,,,,2783.252,
199,Cyprus,2020,,,,,,3120.853,
200,Cyprus,2021,,,,,,3860.134,
201,Russia,2020,,,,,,,99.2
